name,province,population,lat,lon
Madrid,Madrid,3305408,40.4168,-3.7038
Barcelona,Barcelona,1620343,41.3851,2.1734
Valencia,Valencia,800666,39.4699,-0.3763
Sevilla,Sevilla,684234,37.3886,-5.9823
Zaragoza,Zaragoza,674997,41.6488,-0.8891
Málaga,Málaga,578460,36.7213,-4.4214
Murcia,Murcia,453258,37.9922,-1.1307
Palma,Baleares,416065,39.5696,2.6502
Las Palmas de Gran Canaria,Las Palmas,379925,28.1235,-15.4363
Bilbao,Bizkaia,345821,43.2630,-2.9350
Alicante,Alicante,330525,38.3452,-0.4810
Córdoba,Córdoba,325701,37.8882,-4.7794
Valladolid,Valladolid,303905,41.6523,-4.7245
Vigo,Pontevedra,295703,42.2328,-8.7226
Gijón,Asturias,271843,43.5322,-5.6611
L'Hospitalet de Llobregat,Barcelona,256065,41.3598,2.0996
A Coruña,A Coruña,244389,43.3623,-8.4115
Granada,Granada,232208,37.1773,-3.5986
Vitoria-Gasteiz,Álava,249176,42.8467,-2.6716
Elche,Alicante,228647,38.2669,-0.6985
Santa Cruz de Tenerife,Santa Cruz de Tenerife,203585,28.4636,-16.2519
Oviedo,Asturias,219686,43.3614,-5.8497
Badalona,Barcelona,215634,41.4469,2.2471
Cartagena,Murcia,216655,37.6048,-0.9863
Terrassa,Barcelona,215214,41.5661,2.0089
Jerez de la Frontera,Cádiz,211871,36.6817,-6.1368
Sabadell,Barcelona,208888,41.5432,2.1091
Móstoles,Madrid,205799,40.3225,-3.8646
Alcalá de Henares,Madrid,198702,40.4818,-3.3634
Pamplona,Navarra,203218,42.8188,-1.6440
